personid,gender,birthmonth,birthyear,highestgradecompleted,maritalstatus,childathome,childnotathome,wageincome,weeklyhrscomputer,weeklyhrstv,nightlyhrssleep,satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestdegree,govprovidejobs,govpricecontrols,govhealthcare,govelderliving,govindhelp,govunemp,govincomediff,govcollegefinance,govdecenthousing,govprotectenvironment,weeksworked00,weeksworked01,weeksworked02,weeksworked03,weeksworked04,weeksworked05,weeksworked06,weeksworked07,weeksworked08,weeksworked09,weeksworked10,weeksworked11,weeksworked12,weeksworked13,weeksworked14,weeksworked15,weeksworked16,weeksworked17,colenrfeb97,colenroct97,colenrfeb98,colenroct98,colenrfeb99,colenroct99,colenrfeb00,colenroct00,colenrfeb01,colenroct01,colenrfeb02,colenroct02,colenrfeb03,colenroct03,colenrfeb04,colenroct04,colenrfeb05,colenroct05,colenrfeb06,colenroct06,colenrfeb07,colenroct07,colenrfeb08,colenroct08,colenrfeb09,colenroct09,colenrfeb10,colenroct10,colenrfeb11,colenroct11,colenrfeb12,colenroct12,colenrfeb13,colenroct13,colenrfeb14,colenroct14,colenrfeb15,colenroct15,colenrfeb16,colenroct16,colenrfeb17,colenroct17
177536,Female,1,1983,6.0,Divorced,2.0,2.0,,1 to 3 hours a week,21 to 30 hours a week,4.0,,,,,,,0. None,,,,,,,,,,,0.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
177742,Male,10,1980,13.0,Never-married,,,27000.0,10 hours or more a week,More than 40 hours a week,6.0,,,225.0,160.0,300.0,160.0,2. High School,,,,,,,,,,,47.0,48.0,52.0,52.0,52.0,53.0,49.0,52.0,52.0,52.0,20.0,24.0,0.0,0.0,0.0,28.0,53.0,48.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled
177752,Male,2,1983,,,,,,,,,580.0,660.0,344.0,300.0,340.0,325.0,4. Bachelors,,,,,,,,,,,6.0,6.0,14.0,0.0,0.0,0.0,19.0,52.0,52.0,52.0,52.0,44.0,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,4. Graduate program,4. Graduate program,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,,,,,,,,,
177767,Female,11,1982,,,,,,,,,380.0,370.0,341.0,363.0,335.0,293.0,4. Bachelors,,,,,,,,,,,53.0,34.0,0.0,0.0,33.0,53.0,52.0,41.0,52.0,45.0,52.0,53.0,52.0,52.0,9.0,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,,,,
177845,Female,8,1984,15.0,Never-married,1.0,0.0,35000.0,10 hours or more a week,3 to 10 hours a week,5.0,370.0,230.0,309.0,333.0,263.0,330.0,2. High School,,,,,,,,,,,0.0,16.0,31.0,11.0,41.0,53.0,52.0,35.0,52.0,52.0,10.0,44.0,52.0,52.0,52.0,40.0,53.0,9.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
177866,Male,5,1983,,,,,,,,,,,,,,,0. None,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177882,Male,5,1981,12.0,Married,1.0,0.0,35000.0,7 to 9 hours a week,3 to 10 hours a week,7.0,,,42.0,37.0,110.0,35.0,2. High School,4. Definitely not,1. Definitely,1. Definitely,1. Definitely,1. Definitely,4. Definitely not,,1. Definitely,2. Probably ,1. Definitely,28.0,49.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,49.0,52.0,49.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
177910,Male,8,1982,14.0,Never-married,,,,4 to 6 hours a week,11 to 20 hours a week,3.0,,,,,,,2. High School,,,,,,,,,,,0.0,8.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled
177947,Male,1,1983,12.0,Married,1.0,1.0,30000.0,10 hours or more a week,3 to 10 hours a week,8.0,,,289.0,100.0,280.0,300.0,2. High School,,,,,,,,,,,40.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
177987,Male,10,1982,20.0,Never-married,,,1900.0,10 hours or more a week,Less than 2 hours per week,7.0,650.0,630.0,292.0,278.0,310.0,323.0,5. Masters,,,,,,,,,,,10.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,33.0,36.0,42.0,52.0,52.0,52.0,52.0,30.0,48.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,4. Graduate program,4. Graduate program,4. Graduate program
178022,Female,4,1984,14.0,Never-married,3.0,0.0,,7 to 9 hours a week,3 to 10 hours a week,6.0,,,255.0,252.0,270.0,218.0,2. High School,,,,,,,,,,,20.0,36.0,52.0,52.0,31.0,53.0,52.0,52.0,47.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,1. Not enrolled,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,1. Not enrolled,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178083,Female,9,1982,20.0,Married,1.0,0.0,70000.0,10 hours or more a week,3 to 10 hours a week,8.0,460.0,410.0,360.0,333.0,358.0,367.0,5. Masters,,,,,,,,,,,34.0,18.0,49.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,37.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178137,Male,7,1980,12.0,Married,2.0,0.0,,10 hours or more a week,3 to 10 hours a week,7.0,,,306.0,288.0,289.0,280.0,2. High School,,,,,,,,,,,39.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178182,Female,11,1983,,,,,,,,,,,,,,,3. Associates,2. Probably ,2. Probably ,1. Definitely,1. Definitely,2. Probably ,3. Probably not,2. Probably ,1. Definitely,1. Definitely,1. Definitely,40.0,50.0,43.0,52.0,52.0,53.0,44.0,52.0,52.0,52.0,52.0,23.0,0.0,18.0,22.0,0.0,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,
178296,Female,7,1981,12.0,Married,2.0,0.0,36000.0,10 hours or more a week,3 to 10 hours a week,8.0,,,,,,,2. High School,,,,,,,,,,,46.0,49.0,52.0,52.0,8.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,47.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178332,Female,12,1981,12.0,Married,1.0,0.0,16000.0,10 hours or more a week,11 to 20 hours a week,10.0,340.0,360.0,260.0,167.0,276.0,273.0,2. High School,,,,,,,,,,,0.0,19.0,46.0,52.0,52.0,52.0,52.0,51.0,29.0,0.0,34.0,36.0,28.0,52.0,48.0,21.0,18.0,28.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178341,Female,11,1983,,,,,,,,,580.0,480.0,382.0,350.0,375.0,367.0,4. Bachelors,,,,,,,,,,,53.0,52.0,52.0,13.0,13.0,15.0,19.0,52.0,47.0,,,,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,4. Graduate program,,,,,,,,,,,,,,,,,,
178369,Female,6,1984,12.0,Married,,,,7 to 9 hours a week,11 to 20 hours a week,6.0,,,276.0,295.0,293.0,250.0,2. High School,,,,,,,,,,,0.0,13.0,20.0,43.0,29.0,53.0,52.0,52.0,52.0,21.0,41.0,48.0,28.0,52.0,52.0,52.0,53.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178391,Female,2,1984,20.0,Never-married,,,75000.0,10 hours or more a week,3 to 10 hours a week,7.0,550.0,650.0,397.0,400.0,400.0,400.0,5. Masters,,,,,,,,,,,43.0,29.0,41.0,35.0,48.0,52.0,47.0,52.0,52.0,52.0,49.0,53.0,52.0,52.0,33.0,52.0,53.0,52.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178459,Female,9,1982,8.0,Never-married,0.0,2.0,,None,3 to 10 hours a week,9.0,,,,,,,0. None,,,,,,,,,,,4.0,52.0,31.0,0.0,0.0,0.0,0.0,9.0,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178531,Female,6,1982,9.0,Divorced,3.0,0.0,9000.0,1 to 3 hours a week,3 to 10 hours a week,8.0,,,285.0,280.0,293.0,280.0,0. None,,,,,,,,,,,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,20.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178584,Female,8,1983,9.0,Married,2.0,0.0,,1 to 3 hours a week,Less than 2 hours per week,7.0,,,322.0,365.0,300.0,290.0,1. GED,,,,,,,,,,,0.0,0.0,0.0,0.0,52.0,53.0,52.0,52.0,47.0,52.0,,,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178714,Female,10,1982,14.0,Never-married,1.0,0.0,95000.0,10 hours or more a week,3 to 10 hours a week,8.0,,,,,,,3. Associates,,,,,,,,,,,0.0,0.0,21.0,47.0,52.0,53.0,52.0,52.0,52.0,52.0,22.0,0.0,0.0,0.0,0.0,0.0,17.0,52.0,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,2. 2-year college ,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
178927,Female,8,1983,18.0,Married,2.0,0.0,80000.0,10 hours or more a week,Less than 2 hours per week,7.0,580.0,560.0,347.0,364.0,330.0,310.0,5. Masters,,,,,,,,,,,32.0,47.0,28.0,52.0,52.0,34.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
179278,Female,3,1982,9.0,Married,1.0,1.0,,None,3 to 10 hours a week,8.0,,,,,,,1. GED,,,,,,,,,,,0.0,0.0,0.0,0.0,26.0,36.0,48.0,51.0,40.0,52.0,46.0,8.0,48.0,52.0,11.0,0.0,0.0,10.0,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled
179461,Male,6,1983,20.0,Never-married,,,48000.0,10 hours or more a week,3 to 10 hours a week,6.0,,,358.0,341.0,346.0,333.0,5. Masters,,,,,,,,,,,25.0,33.0,5.0,5.0,9.0,29.0,52.0,52.0,52.0,52.0,49.0,53.0,52.0,52.0,52.0,52.0,53.0,42.0,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,3. 4-year college,3. 4-year college,3. 4-year college,3. 4-year college,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,4. Graduate program,1. Not enrolled
179683,Female,2,1982,,,,,,,,,,,,,,,0. None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. Not enrolled,1. Not enrolled,1. Not enrolled,1. Not enrolled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
